Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,date,strain,country
MH157037,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_1024,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-14,2018-02-14,MH157037,Nigeria
MH157038,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_1079,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-15,2018-02-15,MH157038,Nigeria
MH157039,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_0611,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-02,2018-02-02,MH157039,Nigeria
MH157041,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_1381,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-23,2018-02-23,MH157041,Nigeria
MH157044,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_0541,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-02,2018-01-02,MH157044,Nigeria
MH157045,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_1375,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-23,2018-02-23,MH157045,Nigeria
MH157046,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_0026,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-07,2018-01-07,MH157046,Nigeria
MH157050,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_1643,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-03-05,2018-03-05,MH157050,Nigeria
MH157052,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-04-10,Lassa virus/H.sapiens-wt/NGA/2018/ISTH_1392,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-24,2018-02-24,MH157052,Nigeria
MF990888,Mammarenavirus lassaense,"Whitmer,S.L.M., Strecker,T., Cadar,D., Dienes,H.P., Faber,K., Patel,K., Brown,S.M., Davis,W.G., Klena,J.D., Rollin,P.E., Schmidt-Chanasit,J., Fichet-Calvet,E., Noack,B., Emmerich,P., Rieger,T., Wolff,S., Fehling,S.K., Eickmann,M., Mengel,J.P., Schultze,T., Hain,T., Ampofo,W., Bonney,K., Aryeequaye,J.N.D., Ribner,B., Varkey,J.B., Mehta,A.K., Lyon,G.M. III, Kann,G., De Leuw,P., Schuettfort,G., Stephan,C., Wieland,U., Fries,J.W.U., Kochanek,M., Kraft,C.S., Wolf,T., Nichol,S.T., Becker,S., Stroher,U., Gunther,S., Davis,W., Stroeher,U.","The Centers for Disease Control and Prevention, Viral Special Pathogens Branch",,2018-03-21,Lassa/H.sapiens-wt/TGO/2016/201600568,Mammarenavirus lassaense,partial,Togo,Togo,Homo sapiens,blood,2016-03-12,2016-03-12,MF990888,Togo
MF990889,Mammarenavirus lassaense,"Whitmer,S.L.M., Strecker,T., Cadar,D., Dienes,H.P., Faber,K., Patel,K., Brown,S.M., Davis,W.G., Klena,J.D., Rollin,P.E., Schmidt-Chanasit,J., Fichet-Calvet,E., Noack,B., Emmerich,P., Rieger,T., Wolff,S., Fehling,S.K., Eickmann,M., Mengel,J.P., Schultze,T., Hain,T., Ampofo,W., Bonney,K., Aryeequaye,J.N.D., Ribner,B., Varkey,J.B., Mehta,A.K., Lyon,G.M. III, Kann,G., De Leuw,P., Schuettfort,G., Stephan,C., Wieland,U., Fries,J.W.U., Kochanek,M., Kraft,C.S., Wolf,T., Nichol,S.T., Becker,S., Stroher,U., Gunther,S., Davis,W., Stroeher,U.","The Centers for Disease Control and Prevention, Viral Special Pathogens Branch",,2018-03-21,Lassa/H.sapiens-tc/TGO/2016/812939,Mammarenavirus lassaense,partial,Togo,Togo,Homo sapiens,blood,2016-03-12,2016-03-12,MF990889,Togo
MH053463,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0917,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-03-13,2016-03-13,MH053463,Nigeria
MH053468,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1546,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-10-16,2016-10-16,MH053468,Nigeria
MH053470,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0419,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-28,2016-01-28,MH053470,Nigeria
MH053472,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1604,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-11-05,2016-11-05,MH053472,Nigeria
MH053474,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0621,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-12,2016-02-12,MH053474,Nigeria
MH053475,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0831,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2015-12-30,2015-12-30,MH053475,Nigeria
MH053476,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0717,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-23,2016-02-23,MH053476,Nigeria
MH053478,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0187,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-17,2016-01-17,MH053478,Nigeria
MH053480,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0789,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2015-12-15,2015-12-15,MH053480,Nigeria
MH053482,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1541,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-10-13,2016-10-13,MH053482,Nigeria
MH053483,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1174,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-04-29,2016-04-29,MH053483,Nigeria
MH053484,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0702,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-23,2016-02-23,MH053484,Nigeria
MH053485,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0447,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-02,2016-02-02,MH053485,Nigeria
MH053487,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1568,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-10-27,2016-10-27,MH053487,Nigeria
MH053488,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1250,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-05-18,2016-05-18,MH053488,Nigeria
MH053490,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0314,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-23,2016-01-23,MH053490,Nigeria
MH053491,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-04,2016-01-04,MH053491,Nigeria
MH053493,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0176,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-17,2016-01-17,MH053493,Nigeria
MH053497,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0009,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-02,2016-01-02,MH053497,Nigeria
MH053498,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0736,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2015-11-27,2015-11-27,MH053498,Nigeria
MH053501,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1311,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-06-10,2016-06-10,MH053501,Nigeria
MH053502,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1423,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-08-16,2016-08-16,MH053502,Nigeria
MH053506,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1496,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-09-21,2016-09-21,MH053506,Nigeria
MH053511,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0687,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2015-11-10,2015-11-10,MH053511,Nigeria
MH053513,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2015/ISTH_0547,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2015-09-14,2015-09-14,MH053513,Nigeria
MH053514,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0610,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-15,2016-02-15,MH053514,Nigeria
MH053518,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1462,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-09-04,2016-09-04,MH053518,Nigeria
MH053522,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1026,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-04-04,2016-04-04,MH053522,Nigeria
MH053523,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0031,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-01-06,2016-01-06,MH053523,Nigeria
MH053526,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0759,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-28,2016-02-28,MH053526,Nigeria
MH053527,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0543,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-08,2016-02-08,MH053527,Nigeria
MH053528,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_0703,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-02-24,2016-02-24,MH053528,Nigeria
MH053531,Mammarenavirus lassaense,"Odia,I., Ehaine,P., Oguzie,J.U., Siddle,K.J., Mehta,S., Barnes,K.M., Winnicki,S.M., Brehio,P., Shah,R., Chak,B., Yozwiak,N., Amao,A., Nosamiefan,I., Birren,B.W., Park,D.J., Folarin,O., Okokhere,P., Sabeti,P.C., Happi,C.T.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,2018-03-21,Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1207,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2016-05-03,2016-05-03,MH053531,Nigeria
